epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,896.54,0.18071,0.15313,0.801,0.99922,1,0.995,0.995,0.14933,0.11213,0.74279,0.000786824,0.000786824,0.000786824
82,907.556,0.18607,0.15486,0.81418,0.99919,1,0.995,0.99287,0.1396,0.12076,0.74007,0.000775822,0.000775822,0.000775822
83,918.56,0.18202,0.16672,0.80826,0.99889,1,0.995,0.995,0.13459,0.11206,0.73894,0.00076482,0.00076482,0.00076482
84,929.613,0.17914,0.15335,0.80106,0.99963,1,0.995,0.99424,0.13776,0.11855,0.73968,0.000753817,0.000753817,0.000753817
85,940.627,0.17981,0.15467,0.80697,0.99922,1,0.995,0.99423,0.14221,0.11323,0.74111,0.000742815,0.000742815,0.000742815
86,951.628,0.18258,0.15181,0.8048,0.99917,1,0.995,0.99436,0.15157,0.12307,0.74351,0.000731813,0.000731813,0.000731813
87,962.609,0.18368,0.15502,0.79801,0.99921,1,0.995,0.99448,0.13992,0.10561,0.73962,0.000720811,0.000720811,0.000720811
88,973.529,0.18379,0.15505,0.80592,0.99921,1,0.995,0.99469,0.14318,0.11343,0.7425,0.000709809,0.000709809,0.000709809
89,984.548,0.19017,0.16111,0.80205,0.99923,1,0.995,0.99474,0.1478,0.11577,0.74257,0.000698806,0.000698806,0.000698806
90,995.501,0.18198,0.14997,0.79754,0.99918,1,0.995,0.99457,0.13735,0.10828,0.74145,0.000687804,0.000687804,0.000687804
91,1006.52,0.17764,0.14375,0.80584,0.99922,1,0.995,0.99446,0.13983,0.10038,0.74203,0.000676802,0.000676802,0.000676802
92,1017.46,0.17322,0.14142,0.80338,0.9996,1,0.995,0.99407,0.14422,0.10755,0.74049,0.0006658,0.0006658,0.0006658
93,1028.44,0.17643,0.14248,0.80049,0.9992,1,0.995,0.99468,0.13626,0.10405,0.73998,0.000654798,0.000654798,0.000654798
94,1039.42,0.18032,0.14949,0.81078,0.99963,1,0.995,0.9946,0.14553,0.10836,0.74091,0.000643795,0.000643795,0.000643795
95,1050.42,0.17639,0.14324,0.79612,0.99954,1,0.995,0.9946,0.14453,0.10045,0.74044,0.000632793,0.000632793,0.000632793
96,1061.48,0.17979,0.14188,0.79943,0.99921,1,0.995,0.99448,0.13942,0.10407,0.74034,0.000621791,0.000621791,0.000621791
97,1072.52,0.17531,0.13761,0.80285,0.99963,1,0.995,0.99436,0.13753,0.11119,0.73944,0.000610789,0.000610789,0.000610789
98,1083.57,0.17213,0.14176,0.80406,0.99921,1,0.995,0.99464,0.13294,0.10262,0.73871,0.000599787,0.000599787,0.000599787
99,1094.58,0.17201,0.13751,0.8046,0.99963,1,0.995,0.99471,0.13132,0.0994,0.7403,0.000588784,0.000588784,0.000588784
100,1105.65,0.17427,0.14343,0.79944,0.99962,1,0.995,0.99444,0.13807,0.10404,0.74063,0.000577782,0.000577782,0.000577782
101,1116.69,0.17046,0.13952,0.81255,0.99923,1,0.995,0.9942,0.13299,0.09563,0.73857,0.00056678,0.00056678,0.00056678
102,1127.78,0.17396,0.14218,0.80088,0.99923,1,0.995,0.99407,0.14482,0.10605,0.73996,0.000555778,0.000555778,0.000555778
103,1139.17,0.16232,0.1349,0.80255,0.99923,1,0.995,0.99424,0.13976,0.10219,0.73914,0.000544776,0.000544776,0.000544776
104,1150.3,0.17095,0.1393,0.80531,0.99921,1,0.995,0.99479,0.13506,0.1027,0.73912,0.000533773,0.000533773,0.000533773
105,1161.4,0.17669,0.13968,0.79093,0.99922,1,0.995,0.99456,0.13268,0.10012,0.7378,0.000522771,0.000522771,0.000522771
106,1172.51,0.17654,0.13942,0.81106,0.99919,1,0.995,0.995,0.14609,0.10445,0.74114,0.000511769,0.000511769,0.000511769
107,1183.64,0.17207,0.1396,0.80425,0.99923,1,0.995,0.995,0.13503,0.10877,0.73863,0.000500767,0.000500767,0.000500767
108,1194.81,0.17147,0.13456,0.80212,0.99921,1,0.995,0.995,0.14027,0.10644,0.7416,0.000489765,0.000489765,0.000489765
109,1205.97,0.16583,0.13818,0.80433,0.99923,1,0.995,0.99422,0.12731,0.10492,0.73775,0.000478762,0.000478762,0.000478762
110,1217.02,0.16794,0.13425,0.80564,0.9996,1,0.995,0.99432,0.13682,0.10406,0.73838,0.00046776,0.00046776,0.00046776
