epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,824.562,0.52848,0.30822,0.84087,0.99957,1,0.995,0.9038,0.48388,0.24348,0.78188,0.000713,0.000713,0.000713
67,836.959,0.52714,0.30644,0.83723,0.99955,1,0.995,0.89167,0.52572,0.27818,0.79047,0.0006932,0.0006932,0.0006932
68,849.367,0.51212,0.29702,0.82743,0.99957,1,0.995,0.90273,0.50016,0.24635,0.78427,0.0006734,0.0006734,0.0006734
69,861.635,0.51531,0.29845,0.83156,0.99955,1,0.995,0.90564,0.48271,0.23294,0.78289,0.0006536,0.0006536,0.0006536
70,873.991,0.50343,0.3013,0.82484,0.99956,1,0.995,0.89943,0.48595,0.2416,0.78254,0.0006338,0.0006338,0.0006338
71,886.365,0.49695,0.29407,0.82411,0.99957,1,0.995,0.90632,0.46701,0.26495,0.77923,0.000614,0.000614,0.000614
72,898.729,0.51053,0.29586,0.83726,0.99957,1,0.995,0.89266,0.49276,0.25088,0.78122,0.0005942,0.0005942,0.0005942
73,911.076,0.50759,0.28868,0.82787,0.99957,1,0.995,0.90038,0.48605,0.2348,0.78403,0.0005744,0.0005744,0.0005744
74,923.452,0.49864,0.29948,0.82945,0.99957,1,0.995,0.89213,0.5457,0.25044,0.78868,0.0005546,0.0005546,0.0005546
75,935.88,0.49108,0.29089,0.82833,0.99957,1,0.995,0.88374,0.53139,0.25252,0.78456,0.0005348,0.0005348,0.0005348
76,948.246,0.48187,0.27711,0.82919,0.99958,1,0.995,0.88782,0.52296,0.23447,0.78438,0.000515,0.000515,0.000515
77,960.529,0.50029,0.28665,0.82531,0.99957,1,0.995,0.88744,0.50581,0.24937,0.78481,0.0004952,0.0004952,0.0004952
78,972.903,0.4977,0.28907,0.82293,0.99956,1,0.995,0.90193,0.49255,0.23288,0.7805,0.0004754,0.0004754,0.0004754
79,985.336,0.49316,0.28716,0.82635,0.99955,1,0.995,0.90215,0.48441,0.22814,0.77794,0.0004556,0.0004556,0.0004556
80,997.719,0.49098,0.27953,0.82364,0.99954,1,0.995,0.91203,0.44909,0.22056,0.77624,0.0004358,0.0004358,0.0004358
81,1010.06,0.49796,0.29007,0.82684,0.99952,1,0.995,0.89013,0.53352,0.25261,0.78282,0.000416,0.000416,0.000416
82,1022.39,0.49647,0.28898,0.83724,0.99957,1,0.995,0.89994,0.50115,0.23147,0.77973,0.0003962,0.0003962,0.0003962
83,1034.63,0.47167,0.27139,0.82649,0.99958,1,0.995,0.9011,0.49495,0.22252,0.77915,0.0003764,0.0003764,0.0003764
